Day  Month  Year           SSH               SST 
                           (m)               (C)

 1     1    1993     1.08493301086      19.3952146992
 2     1    1993     1.08401745558      19.3227027208
 3     1    1993     1.07364116237      19.307321392
 4     1    1993     1.07882930897      19.38496048
 5     1    1993     1.08920560218      19.4545426816
 6     1    1993     1.09561448917      19.3791009262
 7     1    1993     1.09744559973      19.1857356504
 8     1    1993     1.08310190029      18.9974974841
 9     1    1993     1.07394634746      18.9784539342
 10    1    1993     1.06967375614      18.7931455448
 11    1    1993     1.07242042199      18.6869411319
 12    1    1993     1.06234931387      18.7352824509
 13    1    1993     1.06234931387      18.7206335664
 14    1    1993     1.07455671765      18.6195562631
 15    1    1993     1.09042634256      18.5507065058
 16    1    1993     1.11087374389      18.5529038385
 17    1    1993     1.12369151786      18.6049073786
 18    1    1993     1.13650929183      18.6686300263
 19    1    1993     1.13895077258      18.6832789108
 20    1    1993     1.12857447937      18.7404095605
 21    1    1993     1.10965300351      18.7799615487
 22    1    1993     1.09164708294      18.748466447
 23    1    1993     1.07882930897      18.7623828873
 24    1    1993     1.06692709029      18.7916806564
 25    1    1993     1.05716116726      18.7579882219
 26    1    1993     1.0330515448       18.6818140224
 27    1    1993     1.00222785026      18.6766869128
 28    1    1993     0.994293037802     18.6847437993
 29    1    1993     1.00314340554      18.7133091241
 30    1    1993     1.01931821555      18.7689748853
 31    1    1993     1.01413006894      18.7396771163
 1     2    1993     0.999481184408     18.5404522866
 2     2    1993     0.961027862504     18.2818994746
 3     2    1993     0.94912564382      18.0585039854
 4     2    1993     0.94912564382      18.1170995235
 5     2    1993     0.951567124575     18.4840540811
 6     2    1993     0.955839715898     18.9703970477
 7     2    1993     0.959807122126     19.1271401122
 8     2    1993     0.957976011559     18.9931028187
 9     2    1993     0.968657489866     18.8634601906
 10    2    1993     0.974761191756     18.8239082024
 11    2    1993     0.982085634023     18.8334299773
 12    2    1993     0.992156742141     18.8715170771
 13    2    1993     0.986053040251     18.8495437503
 14    2    1993     0.962248602882     18.8019348755
 15    2    1993     0.934781944379     18.5931882709
 16    2    1993     0.923184910789     18.3661305606
 17    2    1993     0.925931576639     18.2328257114
 18    2    1993     0.909451581538     18.0292062163
 19    2    1993     0.895107882097     17.9200720266
 20    2    1993     0.886562699452     17.8680684865
 21    2    1993     0.903958249837     17.8490249366
 22    2    1993     0.936918240041     17.8600116
 23    2    1993     0.946073792875     17.9178746939
 24    2    1993     0.949736014009     17.9142124727
 25    2    1993     0.95736564137      17.9039582536
 26    2    1993     0.968047119677     17.8878444806
 27    2    1993     0.975676747039     17.8746604845
 28    2    1993     0.983306374401     17.8607440442
 1     3    1993     0.979033783078     17.8570818231
 2     3    1993     0.96621600911      17.8395031616
 3     3    1993     0.954313790426     17.7970213965
 4     3    1993     0.956755271181     17.7970213965
 5     3    1993     0.96072267741      17.8102053925
 6     3    1993     0.960417492315     17.8863795921
 7     3    1993     0.965910824016     17.9581591263
 8     3    1993     0.959501937032     18.150791958
 9     3    1993     0.94912564382      18.2965483591
 10    3    1993     0.948820458725     18.2818994746
 11    3    1993     0.936307869852     18.1676381752
 12    3    1993     0.937528610229     18.1332132965
 13    3    1993     0.929898982868     18.2196417153
 14    3    1993     0.928373057395     18.3778496683
 15    3    1993     0.944242682308     18.5587633923
 16    3    1993     0.928373057395     18.4781945273
 17    3    1993     0.902737509459     18.3390301242
 18    3    1993     0.898464918137     18.2723776996
 19    3    1993     0.88503677398      18.063631095
 20    3    1993     0.857264930382     17.6703085452
 21    3    1993     0.859401226044     17.4996490404
 22    3    1993     0.886257514358     17.5853450149
 23    3    1993     0.920438244939     17.6798303202
 24    3    1993     0.937833795324     17.7867671773
 25    3    1993     0.914944913238     17.6336863339
 26    3    1993     0.89663380757      17.5714285746
 27    3    1993     0.889614550397     17.6395458877
 28    3    1993     0.889919735491     17.6842249855
 29    3    1993     0.887478254735     17.6783654317
 30    3    1993     0.899990843609     17.6190374494
 31    3    1993     0.930814538151     17.5743583515
 1     4    1993     0.963774528354     17.6131778955
 2     4    1993     0.975371561944     17.6549272165
 3     4    1993     0.990325631574     17.6424756646
 4     4    1993     1.01321451366      17.6834925413
 5     4    1993     1.01901303045      17.6871547624
 6     4    1993     1.03091524914      17.7186498642
 7     4    1993     1.0663167201       17.7831049562
 8     4    1993     1.05838190764      17.8380382732
 9     4    1993     1.02420117706      17.7230445296
 10    4    1993     0.997039703652     17.465956606
 11    4    1993     0.978728597984     17.394909516
 12    4    1993     0.983001189306     17.5765556842
 13    4    1993     0.964079713449     17.6476027742
 14    4    1993     0.939359720796     17.4813379347
 15    4    1993     0.937528610229     17.36268197
 16    4    1993     0.972319711        17.6476027742
 17    4    1993     0.9778130427       17.7032685354
 18    4    1993     0.938138980418     17.7193823084
 19    4    1993     0.915250098333     17.7267067507
 20    4    1993     0.904873805121     17.6930143163
 21    4    1993     0.916470838711     17.9427777976
 22    4    1993     0.909146396443     17.9889217839
 23    4    1993     0.926847131923     18.0013733357
 24    4    1993     0.954924160615     18.2320932671
 25    4    1993     0.988189335912     18.5770744979
 26    4    1993     0.997344888747     18.5660878345
 27    4    1993     0.997955258936     18.4818567485
 28    4    1993     0.993987852708     18.9235206172
 29    4    1993     0.982696004212     19.1344645545
 30    4    1993     0.950041199103     18.945493944
 1     5    1993     0.916165653616     18.9030121788
 2     5    1993     0.917996764183     18.8363597542
 3     5    1993     0.922269355506     18.7616504431
 4     5    1993     0.909451581538     18.7037873492
 5     5    1993     0.904873805121     18.6188238189
 6     5    1993     0.913418987766     18.5492416173
 7     5    1993     0.929593797773     18.6906033531
 8     5    1993     0.932645648718     18.7089144588
 9     5    1993     0.926541946828     18.5060274079
 10    5    1993     0.921964170411     18.2745750323
 11    5    1993     0.927457502112     18.4650105312
 12    5    1993     0.945158237591     18.8173162043
 13    5    1993     0.945158237591     18.8978850693
 14    5    1993     0.93142490834      19.1029694527
 15    5    1993     0.918607134372     19.1161534488
 16    5    1993     0.920133059844     18.993835263
 17    5    1993     0.935392314568     18.9242530614
 18    5    1993     0.954008605331     18.968199715
 19    5    1993     0.966826379299     18.8876308501
 20    5    1993     0.965605638921     18.9498886093
 21    5    1993     0.968657489866     19.0311899185
 22    5    1993     0.975676747039     19.0524308011
 23    5    1993     0.980559708551     19.0692770183
 24    5    1993     0.97506637685      19.0670796856
 25    5    1993     0.980254523456     19.4340342432
 26    5    1993     0.987273780629     19.3124485016
 27    5    1993     0.977202672511     19.3761711493
 28    5    1993     0.954008605331     19.3637195975
 29    5    1993     0.934476759285     19.4091311395
 30    5    1993     0.925016021356     19.5211951062
 31    5    1993     0.921353800222     19.5607470945
 1     6    1993     0.927762687206     19.8720358908
 2     6    1993     0.950651569292     20.2880642116
 3     6    1993     0.979338968173     20.4968108162
 4     6    1993     0.98391674459      20.3393353075
 5     6    1993     0.970793785527     20.3598437458
 6     6    1993     0.983306374401     20.3408001959
 7     6    1993     1.01016266271      20.3290810883
 8     6    1993     1.01992858574      20.2170171216
 9     6    1993     1.03274635971      20.4404126108
 10    6    1993     1.0440382082       20.7597582936
 11    6    1993     1.05563524179      20.8762169257
 12    6    1993     1.06387523934      20.9311502427
 13    6    1993     1.06295968406      20.8894009218
 14    6    1993     1.0550248716       21.0351573229
 15    6    1993     1.05563524179      21.2563554794
 16    6    1993     1.06723227538      20.9978026673
 17    6    1993     1.08310190029      21.0190435499
 18    6    1993     1.08645893633      20.8549760431
 19    6    1993     1.06845301576      20.8344676048
 20    6    1993     1.03488265537      21.0080568865
 21    6    1993     1.02725302801      21.0131839961
 22    6    1993     1.02450636216      21.1450239569
 23    6    1993     1.03183080442      21.2080141604
 24    6    1993     1.05410931632      21.3493758962
 25    6    1993     1.06326486915      21.7177953422
 26    6    1993     1.05716116726      21.9001739547
 27    6    1993     1.04617450386      21.849635303
 28    6    1993     1.0388500616       21.9580370486
 29    6    1993     1.0385448765       21.8459730819
 30    6    1993     1.04281746782      21.9316690564
 1     7    1993     1.04525894858      22.1579943225
 2     7    1993     1.04098635726      22.3726004809
 3     7    1993     1.04770042934      22.7117221579
 4     7    1993     1.0605182033       22.6875514984
 5     7    1993     1.06418042444      22.8303781226
 6     7    1993     1.05258339085      22.6472670659
 7     7    1993     1.0275582131       22.2869045064
 8     7    1993     1.01168858819      22.0210272521
 9     7    1993     0.993987852708     21.7771233246
 10    7    1993     0.980559708551     21.6994842365
 11    7    1993     0.971098970622     21.7939695418
 12    7    1993     0.971098970622     21.9939268157
 13    7    1993     0.970488600433     22.3894466981
 14    7    1993     0.975981932133     22.4788048938
 15    7    1993     0.98666341044      22.9131443202
 16    7    1993     0.99826044403      23.0632953867
 17    7    1993     1.00344859064      23.3555406332
 18    7    1993     1.00161748007      23.3342997506
 19    7    1993     0.988494521007     23.5115512535
 20    7    1993     0.957976011559     24.0733359754
 21    7    1993     0.925016021356     24.8072450906
 22    7    1993     0.910061951727     25.2921231687
 23    7    1993     0.876796776429     25.3499862626
 24    7    1993     0.817590868101     25.7799310237
 25    7    1993     0.753807183355     25.3426618204
 26    7    1993     0.767540512607     25.1317178831
 27    7    1993     0.767845697701     25.1910458654
 28    7    1993     0.760216070339     24.9749748185
 29    7    1993     0.770897548646     25.070192568
 30    7    1993     0.813928646967     25.0775170103
 31    7    1993     0.89663380757      25.2203436345
 1     8    1993     0.935087129474     25.3170262724
 2     8    1993     0.928983427584     25.4181035757
 3     8    1993     0.935087129474     25.331675157
 4     8    1993     0.966826379299     25.4268929064
 5     8    1993     1.00589007139      25.4422742352
 6     8    1993     1.03946043178      25.425428018
 7     8    1993     1.06326486915      25.4005249143
 8     8    1993     1.09347819351      25.4466689005
 9     8    1993     1.12918484956      25.6561479494
 10    8    1993     1.14474928938      25.590227969
 11    8    1993     1.13071077503      25.6122012958
 12    8    1993     1.12338633277      25.8114261255
 13    8    1993     1.12033448182      25.935941644
 14    8    1993     1.12491225824      26.1205175892
 15    8    1993     1.13986632787      26.3087557554
 16    8    1993     1.15146336146      26.2662739903
 17    8    1993     1.17557298392      26.4977263659
 18    8    1993     1.19663075544      26.927671127
 19    8    1993     1.20761741884      27.2411572561
 20    8    1993     1.21036408469      27.4857936278
 21    8    1993     1.20853297412      27.3795892149
 22    8    1993     1.20334482752      27.4513687491
 23    8    1993     1.20212408714      27.5363322794
 24    8    1993     1.21066926979      27.567094937
 25    8    1993     1.21829889715      27.5377971679
 26    8    1993     1.21768852696      27.6952726766
 27    8    1993     1.2155522313       27.8959623948
 28    8    1993     1.21158482507      27.8329721913
 29    8    1993     1.20303964242      28.3764458075
 30    8    1993     1.1877803877       28.6049684063
 31    8    1993     1.16458632052      28.3566698134
 1     9    1993     1.14780114032      27.9794610366
 2     9    1993     1.14597002976      27.6132389233
 3     9    1993     1.1545152124       27.5165562853
 4     9    1993     1.16794335656      27.4352549762
 5     9    1993     1.18839075789      27.3964354321
 6     9    1993     1.21158482507      27.8974272832
 7     9    1993     1.22531815432      27.6095767021
 8     9    1993     1.24546037056      27.2389599234
 9     9    1993     1.29123813473      27.289498575
 10    9    1993     1.31809442304      27.4008300975
 11    9    1993     1.31290627643      27.4389171973
 12    9    1993     1.28452406265      27.2968230173
 13    9    1993     1.24149296433      27.0265510976
 14    9    1993     1.20670186356      26.8485671505
 15    9    1993     1.18381298147      26.7614062876
 16    9    1993     1.15939817391      26.8807946965
 17    9    1993     1.11636707559      26.9467146769
 18    9    1993     1.08767967671      27.1452070624
 19    9    1993     1.10843226314      26.882259585
 20    9    1993     1.14261299372      27.0031128824
 21    9    1993     1.15207373165      26.8654133677
 22    9    1993     1.16763817146      26.8588213697
 23    9    1993     1.21250038035      27.376659438
 24    9    1993     1.26560258679      27.2587359175
 25    9    1993     1.32419812493      27.1583910584
 26    9    1993     1.33487960324      27.1752372757
 27    9    1993     1.27719962038      26.9056978002
 28    9    1993     1.1932737194       26.5292214677
 29    9    1993     1.18564409204      26.5826898962
 30    9    1993     1.20334482752      26.8917813599
 1     10   1993     1.20487075299      26.643482767
 2     10   1993     1.22379222885      26.5138401389
 3     10   1993     1.22531815432      26.7804498374
 4     10   1993     1.21158482507      26.3160801977
 5     10   1993     1.25614184886      26.7929013893
 6     10   1993     1.26010925509      26.455977045
 7     10   1993     1.24820703641      26.0824304894
 8     10   1993     1.2485122215       26.1219824776
 9     10   1993     1.24515518546      26.2113406733
 10    10   1993     1.26834925264      26.226722002
 11    10   1993     1.2704855483       26.2486953288
 12    10   1993     1.27842036076      26.0677816048
 13    10   1993     1.29123813473      25.82607501
 14    10   1993     1.29001739435      25.4928128868
 15    10   1993     1.2814722117       25.1888485327
 16    10   1993     1.26987517811      24.7391277775
 17    10   1993     1.27018036321      24.0374462083
 18    10   1993     1.30710775964      24.0872524157
 19    10   1993     1.34922330268      24.0843226388
 20    10   1993     1.36783959344      23.5884578973
 21    10   1993     1.37241736986      23.9905697778
 22    10   1993     1.34952848777      23.975188449
 23    10   1993     1.31290627643      23.180486463
 24    10   1993     1.30741294473      22.7981505767
 25    10   1993     1.31565294228      22.8560136706
 26    10   1993     1.31656849757      22.3945738077
 27    10   1993     1.27536850981      22.1228369996
 28    10   1993     1.22379222885      22.763725698
 29    10   1993     1.18869594298      23.7224951908
 30    10   1993     1.15237891674      24.1553697288
 31    10   1993     1.10263374634      24.1875972748
 1     11   1993     1.17831964977      24.3948789909
 2     11   1993     1.2320322264       24.4234443158
 3     11   1993     1.16214483976      24.369243443
 4     11   1993     1.08462782577      23.9883724451
 5     11   1993     1.06173894368      24.3663136661
 6     11   1993     1.02969450876      24.188329719
 7     11   1993     1.00161748007      24.1216772944
 8     11   1993     0.967741934583     23.9795831144
 9     11   1993     0.928067872301     23.7569200695
 10    11   1993     0.85848567076      22.812067017
 11    11   1993     0.802026428282     22.2239143029
 12    11   1993     0.749839777127     21.6606646925
 13    11   1993     0.727256080136     21.9587694928
 14    11   1993     0.704672383144     21.9397259429
 15    11   1993     0.657673878595     21.7163304538
 16    11   1993     0.617389446124     21.8152104244
 17    11   1993     0.580462049693     21.7888424322
 18    11   1993     0.542008727789     21.6006042659
 19    11   1993     0.526139102876     21.4694967493
 20    11   1993     0.563676869497     21.4372692034
 21    11   1993     0.597857600078     21.7990966514
 22    11   1993     0.680867945775     22.2202520818
 23    11   1993     0.738853113726     22.3220618293
 24    11   1993     0.731528671458     21.9016388431
 25    11   1993     0.721152378246     21.5837580487
 26    11   1993     0.726950895041     21.9023712873
 27    11   1993     0.730918301269     22.6245612949
 28    11   1993     0.720236822963     22.5366679877
 29    11   1993     0.71321756579      22.392376475
 30    11   1993     0.714133121073     22.1521347687
 1     12   1993     0.731528671458     21.7324442267
 2     12   1993     0.776696065441     21.5639820546
 3     12   1993     0.842310860753     21.8261970878
 4     12   1993     0.868861963972     21.9038361758
 5     12   1993     0.881374552846     22.0246894732
 6     12   1993     0.896328622475     22.1711783186
 7     12   1993     0.874355295673     22.1162450016
 8     12   1993     0.836817529052     21.9441206083
 9     12   1993     0.748313851655     21.826929532
 10    12   1993     0.713827935979     21.3398541212
 11    12   1993     0.730002745986     21.4709616378
 12    12   1993     0.741599779576     21.4211554304
 13    12   1993     0.760826440528     21.0542008728
 14    12   1993     0.769371623173     20.7956480607
 15    12   1993     0.817896053195     21.4951322973
 16    12   1993     0.837122714147     21.6247749254
 17    12   1993     0.847193822265     21.503921628
 18    12   1993     0.820337533951     21.5471358374
 19    12   1993     0.795312356204     21.3149510175
 20    12   1993     0.773339029402     21.1105990782
 21    12   1993     0.744346445426     20.9157689139
 22    12   1993     0.72206793353      21.0029297769
 23    12   1993     0.715048676357     20.7817316204
 24    12   1993     0.740684224293     20.5034028143
 25    12   1993     0.773644214496     20.5129245892
 26    12   1993     0.778527176008     20.1657460257
 27    12   1993     0.751365702599     19.866176337
 28    12   1993     0.728171635419     19.6903897226
 29    12   1993     0.691244238988     19.5241248831
 30    12   1993     0.627155369148     19.1608325467
 31    12   1993     0.563371684402     18.7733695507
 1     1    1994     0.529496138915     18.5558336154
 2     1    1994     0.536515396088     18.6971953511
 3     1    1994     0.552079835907     19.1373943314
 4     1    1994     0.585345011204     19.3549302667
 5     1    1994     0.575273903087     19.3534653783
 6     1    1994     0.584734641016     19.2025818676
 7     1    1994     0.553300576285     19.0289925858
 8     1    1994     0.636921292171     20.1049531549
 9     1    1994     0.703146457672     19.7204199359
 10    1    1994     0.793786430731     19.7980590239
 11    1    1994     0.880458997563     20.0573442802
 12    1    1994     0.891140475869     19.9277016521
 13    1    1994     0.910367136821     19.7636341453
 14    1    1994     0.928373057395     19.6515701786
 15    1    1994     0.91982787475      19.5856501982
 16    1    1994     0.942106386647     19.488235116
 17    1    1994     0.987578965724     19.4787133411
 18    1    1994     1.02725302801      19.4794457853
 19    1    1994     1.04586931877      19.488235116
 20    1    1994     1.05258339085      19.559282206
 21    1    1994     1.06326486915      19.9789727479
 22    1    1994     1.0769981984       20.2594988868
 23    1    1994     1.09561448917      20.3019806519
